roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,winner,id,name,international_id
788,243,2219.53521,17.58969043,21.98240145,detritus,23.0,detritus,
790,59057,2160130.8340000003,274.2147111,1407.960402,mix,25.0,mix,
791,408,5149.855757,22.79214194,24.89813416,mix,25.0,mix,
793,204,1431.379883,16.11647812,21.02427808,mix,25.0,mix,
794,1956,36299.24609,49.90447424,65.94266561,,,,
795,234,2277.654674,17.26088218,19.49446548,,,,
797,281,2223.4622010000003,18.9150816,25.09148324,mix_elongated,,,
798,217,1972.1347879999998,16.62206309,17.86631708,mix,25.0,mix,
799,323,2307.78125,20.27945692,36.31569658,,,,
800,234,2366.404666,17.26088218,21.16329671,mix,25.0,mix,
801,594,3837.487061,27.50098707,38.81482469,mix_elongated,,,
804,227,2202.25645,17.00074636,19.83721289,mix,25.0,mix,
805,258,1951.714436,18.12445317,24.54274513,Leptocylindrus,15.0,Leptocylindrus,149038.0
806,401,4988.063736,22.59577521,24.26634046,mix,25.0,mix,
807,234,2200.685654,17.26088218,19.179851,mix_elongated,,,
808,277,2112.771484,18.77997215,27.42560478,mix,25.0,mix,
809,15889,347236.8438,142.23397319999998,638.6026891,,,,
811,309,3290.8183050000002,19.83509565,22.54657525,,,,
813,540,4916.97168,26.22116233,39.12045618,mix,25.0,mix,
814,198,1125.475568,15.87770229,23.39158148,Asterionellopsis,,,
815,459,1754.579497,24.17471719,78.46625802,kiteflagellates,,,
816,242,1679.1812730000001,17.55346034,25.86532014,mix,25.0,mix,
817,577,8106.879843000001,27.10459772,31.57556507,mix,25.0,mix,
818,558,5348.561493,26.65459934,43.30630176,detritus,23.0,detritus,
820,223,1840.973295,16.85029431,19.34471175,Eucampia,,,
821,301,2543.149902,19.57664688,24.85201934,mix,25.0,mix,
823,362,3163.583802,21.46887783,30.18915969,mix,25.0,mix,
824,2395,17099.65234,55.22145154,344.17107430000004,mix,25.0,mix,
825,225,1939.1480649999999,16.92568751,19.22273088,mix,25.0,mix,
827,458,4674.689869,24.14836871,34.01765413,,,,
829,303,2268.2298960000003,19.64157789,28.87919724,mix,25.0,mix,
830,426,4494.048291,23.28948359,31.08837181,,,,
831,215,1988.62815,16.5452864,19.57562175,mix,25.0,mix,
833,213,1994.125937,16.46815178,17.32320004,mix,25.0,mix,
834,735,9528.450518000001,30.59135606,46.82703143,mix,25.0,mix,
835,580,8246.680715999999,27.17496892,31.30728962,mix,25.0,mix,
836,204,1884.170194,16.11647812,17.54988627,mix,25.0,mix,
837,252,2793.661267,17.91246396,20.43147568,,,,
839,21726,376675.3125,166.32018019999998,1076.682766,mix,25.0,mix,
840,225,2071.0949570000002,16.92568751,18.01001318,dino30,,,
841,225,2232.10158,16.92568751,18.90493713,mix,25.0,mix,
843,206,1255.724243,16.19528778,25.74063088,mix,25.0,mix,
844,481,4801.138973,24.74728714,37.39763749,mix,25.0,mix,
846,188,1627.344995,15.47155566,17.63861961,mix,25.0,mix,
849,646,3906.303223,28.67948301,91.82664961,mix,25.0,mix,
851,377,4660.552702,21.90916038,23.26284401,mix,25.0,mix,
853,2675,79014.98223,58.36022432,75.90550029,mix,25.0,mix,
854,806,10247.08984,32.03484155,49.1601514,mix,25.0,mix,
855,730,8866.359867000001,30.48712626,46.56458618,,,,
856,47643,1544850.125,246.2944409,1295.29587,mix_elongated,,,
857,207,1882.599398,16.23454914,17.35435999,,,,
858,519,6171.658768,25.70625067,32.8396969,detritus,23.0,detritus,
860,208,1934.435676,16.27371578,16.95390964,mix,25.0,mix,
862,248,2294.9334329999997,17.76973289,21.65112377,,,,
863,375,3255.700439,21.85096861,31.81789883,mix,25.0,mix,
864,204,1884.9555920000003,16.11647812,18.82747974,,,,
865,212,2177.123709,16.42944867,18.921511,mix,25.0,mix,
866,638,7833.561282,28.50134785,39.2042972,mix,25.0,mix,
867,372,3267.435791,21.76338923,30.56555613,mix_elongated,,,
868,970,14021.04004,35.14316944,53.50384016,Cylindrotheca,5.0,Cylindrotheca,149003.0
869,220,1866.891434,16.73656774,20.23340747,Guinardia,,,
870,675,10101.79118,29.31615071,35.67164212,mix,25.0,mix,
872,636,6266.691946,28.45663983,47.84438283,detritus,23.0,detritus,
873,2457,20891.73828,55.93165079999999,235.0923495,detritus,23.0,detritus,
874,278,3125.0992920000003,18.81384048,20.532648899999998,,,,
875,813,15617.64248,32.17364993,33.39329917,,,,
876,214,1971.3493899999999,16.50676415,18.94634257,mix,25.0,mix,
879,243,2357.765287,17.58969043,19.02184134,dino30,,,
880,522,7714.9661590000005,25.78043914,27.47405855,,,,
881,214,1685.464459,16.50676415,19.35524352,,,,
882,586,9821.404033,27.31516746,27.811870199999998,mix,25.0,mix,
883,1119,22104.245909999998,37.7459276,45.00826694,mix,25.0,mix,
885,368,3465.176697,21.64606552,28.62542675,detritus,23.0,detritus,
886,275,1814.687134,18.71205159,30.93814241,mix,25.0,mix,
887,231,2126.0728280000003,17.14987857,18.65984487,,,,
