roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,MinorAxisLength,winner,id,name,international_id
1310,406,3385.90625,22.73621022,29.8407023,21.46888168,detritus,23.0,detritus,
1311,438,4364.4575939999995,23.61522646,34.15427056,17.27626557,mix,25.0,mix,
1312,640,8505.076711,28.54598586,36.88520784,22.69450443,mix,25.0,mix,
1313,633,2582.034912,28.38944578,136.97983430000002,6.405651399,Leptocylindrus,15.0,Leptocylindrus,149038.0
1314,2310,73254.8721,54.23267786,64.87892637,47.98002588,ciliate_mix,,,
1315,1251,30348.57043,39.91018254,47.07257603,41.67271005,Pyramimonas,37.0,Pyramimonas,134529.0
1316,806,9697.601563,32.03484155,42.84274516,26.49469664,detritus,23.0,detritus,
1317,583,6942.134365999999,27.24515837,38.56272925,20.94915818,mix,25.0,mix,
1318,426,5657.222971,23.28948359,24.5348114,22.37142269,mix,25.0,mix,
1319,280,2124.390625,18.88139488,28.19494463,13.4333323,mix,25.0,mix,
1321,578,6743.428631000001,27.12807507,36.99505852,20.72816994,mix,25.0,mix,
1322,684,11996.17155,29.51094456,30.20014247,28.89291869,mix,25.0,mix,
1323,417,5032.046033,23.04215463,26.742831899999995,20.3847669,mix,25.0,mix,
1324,2497,33644.55469,56.38509682,142.72418480000002,25.8597647,Chaetoceros,3.0,Chaetoceros,148985.0
1325,535,7708.682973999999,26.09948575,28.92155862,24.30602875,mix,25.0,mix,
1326,322,3041.847087,20.24804024,25.28080607,16.74122071,mix,25.0,mix,
1327,700,12285.19807,29.85410661,31.28852368,28.776163,mix,25.0,mix,
1328,573,8951.182868,27.01048424,28.27464049,25.91324693,mix,25.0,mix,
1329,360,3208.998779,21.40948939,32.79403049,15.2362574,mix,25.0,mix,
1331,232,1650.324829,17.18695943,24.46868679,13.02101923,mix,25.0,mix,
1332,490,8763.472706999999,24.97773763,28.51667813,25.68655867,detritus,23.0,detritus,
1333,515,7790.364383,25.60699837,26.64425877,24.81782084,mix,25.0,mix,
