pid,Asterionellopsis,Cerataulina,Ceratium,Chaetoceros,Corethron,Coscinodiscus,Cylindrotheca,DactFragCerataul,Dactyliosolen,Dictyocha,Dinobryon,Dinophysis,Ditylum,Ephemera,Eucampia,Euglena,Gonyaulax,Guinardia,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Laboea,Lauderia,Leptocylindrus,Licmophora,Myrionecta,Odontella,Paralia,Phaeocystis,Pleurosigma,Prorocentrum,Pseudonitzschia,Pyramimonas,Rhizosolenia,Skeletonema,Stephanopyxis,Thalassionema,Thalassiosira,Thalassiosira_dirty,bad,ciliate_mix,clusterflagellate,detritus,dino30,kiteflagellates,mix,mix_elongated,pennate,tintinnid
D20180213T234223_IFCB010_01952,0.006667,0.0,0.0,0.126667,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.026667,0.0,0.0,0.363333,0.006667,0.0,0.416667,0.040000,0.0,0.0
D20180213T234223_IFCB010_01954,0.0,0.003333,0.0,0.066667,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.0,0.0,0.003333,0.0,0.020000,0.0,0.0,0.166667,0.040000,0.0,0.656667,0.030000,0.0,0.0
D20180213T234223_IFCB010_01955,0.0,0.0,0.0,0.043333,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.160000,0.010000,0.0,0.750000,0.010000,0.0,0.0
D20180213T234223_IFCB010_01957,0.0,0.003333,0.0,0.056667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.026667,0.0,0.0,0.163333,0.023333,0.0,0.676667,0.043333,0.0,0.0
D20180213T234223_IFCB010_01960,0.0,0.003333,0.0,0.040000,0.0,0.0,0.0,0.0,0.010000,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.140000,0.013333,0.0,0.736667,0.030000,0.0,0.0
D20180213T234223_IFCB010_01961,0.003333,0.006667,0.0,0.046667,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,0.0,0.0,0.0,0.0,0.046667,0.0,0.003333,0.0,0.0,0.016667,0.0,0.010000,0.0,0.023333,0.0,0.0,0.213333,0.0,0.0,0.006667,0.040000,0.020000,0.463333,0.006667,0.076667,0.0,0.0,0.0
D20180213T234223_IFCB010_01962,0.003333,0.0,0.0,0.060000,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.0,0.013333,0.0,0.0,0.0,0.0,0.026667,0.0,0.0,0.293333,0.013333,0.003333,0.550000,0.026667,0.0,0.0
D20180213T234223_IFCB010_01964,0.0,0.0,0.0,0.036667,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.073333,0.110000,0.0,0.723333,0.013333,0.0,0.0
D20180213T234223_IFCB010_01965,0.003333,0.003333,0.0,0.086667,0.0,0.0,0.0,0.0,0.003333,0.0,0.010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,0.0,0.003333,0.0,0.010000,0.0,0.0,0.0,0.0,0.010000,0.0,0.003333,0.226667,0.010000,0.010000,0.523333,0.076667,0.010000,0.0
D20180213T234223_IFCB010_01967,0.016667,0.006667,0.0,0.073333,0.0,0.0,0.003333,0.003333,0.006667,0.0,0.033333,0.0,0.0,0.0,0.0,0.026667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,0.010000,0.010000,0.0,0.0,0.010000,0.0,0.026667,0.0,0.020000,0.0,0.040000,0.0,0.0,0.0,0.0,0.003333,0.0,0.003333,0.130000,0.026667,0.030000,0.396667,0.086667,0.033333,0.0
D20180213T234223_IFCB010_01970,0.006667,0.003333,0.0,0.103333,0.0,0.0,0.006667,0.006667,0.010000,0.0,0.016667,0.0,0.0,0.0,0.0,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667,0.003333,0.0,0.003333,0.0,0.0,0.016667,0.0,0.006667,0.0,0.033333,0.0,0.0,0.003333,0.0,0.003333,0.0,0.0,0.093333,0.036667,0.013333,0.270000,0.300000,0.053333,0.0
