index,sample_identifier,latitude,longitude,ulatitude,ulongitude
84,D20180204T000017_IFCB102,39.909,-70.8886,39.909,-70.8886
85,D20180204T002238_IFCB102,39.8976,-70.8906,39.8972,-70.8908
86,D20180204T015204_IFCB102,40.0556,-70.8896,40.0556,-70.8896
87,D20180204T021426_IFCB102,40.085,-70.8809,40.085,-70.8809
88,D20180204T051317_IFCB102,40.1764,-70.8716,40.1764,-70.8716
89,D20180204T053538_IFCB102,40.2211,-70.874,40.2219,-70.873
90,D20180204T104837_IFCB102,40.5293,-70.8844,40.5291,-70.8844
91,D20180204T111058_IFCB102,40.5259,-70.8825,40.5258,-70.8823
92,D20180204T113319_IFCB102,40.5724,-70.8821,40.5724,-70.8821
93,D20180204T115540_IFCB102,40.6289,-70.8823,40.6315,-70.8823
94,D20180204T121802_IFCB102,40.6886,-70.8836,40.6886,-70.8836
95,D20180204T124023_IFCB102,40.6949,-70.8812,40.6949,-70.8812
96,D20180204T130244_IFCB102,40.7014,-70.8821,40.7041,-70.8819
97,D20180204T132506_IFCB102,40.7637,-70.8788,40.7637,-70.8788
98,D20180204T134727_IFCB102,40.8241,-70.8809,40.8241,-70.8809
99,D20180204T140948_IFCB102,40.8627,-70.883,40.8627,-70.8828
100,D20180204T143210_IFCB102,40.8595,-70.8809,40.8595,-70.8809
101,D20180204T145431_IFCB102,40.852,-70.8804,40.8517,-70.8804
102,D20180204T151652_IFCB102,40.8733,-70.8815,40.8759,-70.8815
103,D20180204T153914_IFCB102,40.9322,-70.8821,40.9322,-70.8821
104,D20180204T160135_IFCB102,40.9686,-70.8814,40.9698,-70.8813
105,D20180204T162356_IFCB102,40.994,-70.88,40.9953,-70.8801
106,D20180204T164617_IFCB102,41.0178,-70.8808,41.0178,-70.8808
107,D20180204T170839_IFCB102,41.0355,-70.8803,41.0359,-70.8802
108,D20180204T173600_IFCB102,41.0326,-70.8815,41.0326,-70.8815
109,D20180204T175821_IFCB102,41.0309,-70.8825,41.0309,-70.8825
110,D20180204T182042_IFCB102,41.0297,-70.8814,41.0296,-70.881
111,D20180204T184304_IFCB102,41.0281,-70.8786,41.0281,-70.8786
112,D20180204T190525_IFCB102,41.0193,-70.8769,41.0193,-70.8769
113,D20180204T192746_IFCB102,41.0192,-70.8804,41.0215,-70.8811
114,D20180204T195008_IFCB102,41.075,-70.8819,41.075,-70.8819
115,D20180204T201229_IFCB102,41.1281,-70.8814,41.1281,-70.8814
116,D20180204T203450_IFCB102,41.1804,-70.883,41.1827,-70.8832
117,D20180204T205712_IFCB102,41.1968,-70.8825,41.1968,-70.8825
118,D20180204T211933_IFCB102,41.1976,-70.8849,41.1977,-70.885
119,D20180205T042420_IFCB102,41.1899,-70.8816,41.1899,-70.8816
