concentration
9
1
1
3
11
3
1
2
12
2
1
2
7
2
2
2
10
3
1
3
7
2
1
2
8
3
4
10
2
1
3
6
2
1
2
6
2
1
1
8
2
1
11
2
1
4
8
2
1
3
8
2
1
3
5
2
2
2
9
3
2
3
10
1
1
2
11
2
3
2
10
1
2
8
1
1
9
1
1
10
1
1
1
8
1
1
2
10
2
1
3
10
2
1
2
8
1
2
3
7
1
1
11
3
1
2
8
1
1
2
12
4
2
3
8
1
2
1
9
1
1
1
9
1
1
1
12
3
2
9
2
9
4
1
3
9
1
1
2
10
2
1
2
10
3
1
3
11
3
2
10
1
1
8
1
1
2
10
3
3
7
1
1
2
12
2
2
3
11
1
1
3
8
1
1
2
11
3
2
10
2
2
10
2
2
8
1
1
1
10
2
2
12
4
1
3
9
1
1
10
3
2
2
10
4
1
1
11
1
2
11
2
2
2
12
2
2
1
12
1
2
2
11
1
1
3
12
1
2
12
1
1
1
14
3
1
12
1
1
1
9
1
1
11
1
1
12
2
1
11
2
1
9
2
1
14
1
2
2
11
1
2
2
12
2
2
14
2
1
3
13
2
2
3
11
2
1
13
3
2
12
3
2
12
1
2
3
15
2
2
1
14
3
1
1
14
2
2
15
3
1
15
2
1
1
17
3
1
2
15
3
1
2
15
1
1
1
14
3
2
17
2
4
19
4
1
2
16
2
2
5
16
3
3
4
6
16
1
2
1
7
1
1
3
15
2
1
2
15
1
2
2
17
4
1
2
14
2
2
1
14
4
2
4
14
4
1
1
17
1
2
2
16
5
1
6
13
2
3
1
16
1
2
1
18
2
2
1
17
2
2
1
18
1
3
2
17
1
2
2
19
3
2
1
15
1
2
17
1
2
2
14
2
1
14
2
1
16
4
1
15
1
2
2
14
1
1
2
9
2
17
1
1
3
14
1
1
1
15
2
3
2
16
2
3
1
16
1
3
14
1
1
15
1
1
5
14
1
1
1
34
7
2
11
16
3
2
2
17
3
1
2
16
1
3
1
16
2
1
3
29
6
2
7
