name,international_id
pid,NA
Asterionellopsis,NA
Cerataulina,NA
Ceratium,NA
Chaetoceros,NA
Corethron,NA
Coscinodiscus,NA
Cylindrotheca,NA
DactFragCerataul,NA
Dactyliosolen,NA
Dictyocha,NA
Dinobryon,NA
Dinophysis,NA
Ditylum,NA
Ephemera,NA
Eucampia,NA
Euglena,NA
Gonyaulax,NA
Guinardia,NA
Guinardia_flaccida,NA
Guinardia_striata,NA
Gyrodinium,NA
Hemiaulus,NA
Laboea,NA
Lauderia,NA
Leptocylindrus,NA
Licmophora,NA
Myrionecta,NA
Odontella,NA
Paralia,NA
Phaeocystis,NA
Pleurosigma,NA
Prorocentrum,NA
Pseudonitzschia,NA
Pyramimonas,NA
Rhizosolenia,NA
Skeletonema,NA
Stephanopyxis,NA
Thalassionema,NA
Thalassiosira,NA
Thalassiosira_dirty,NA
bad,NA
ciliate_mix,NA
clusterflagellate,NA
detritus,NA
dino30,NA
kiteflagellates,NA
mix,NA
mix_elongated,NA
pennate,NA
tintinnid,NA
